AN_ID	AN_REF	AN_TITLE
955	14-0007	MA-5 SCM Changeout - New model SCM with Upgraded Communications
956	14-0008	Expansion spool loose anode
957	14-0009	Anode configuration for the Tree Choke Cap, MA-5, 6, 7R, 8 and 9
959	14-0010	Impact of dropped objects on the Main Umbilical B (or A) - MP3 Ndeavor Operations at CGS
960	14-0011	MA-5 Vertical & Horizontal Spool below and into Choke block, General coating blistering
961	14-0012	Displacement of the 24GEP Pipeline by approximately 0.5m between KP454.7 and KP454.454.81, possible Anchor drag
962	14-0013	FAD Debris within the Vicinity of the FOBN Telecommunications Cable, 24GEP, KP244.683
963	14-0014	MP204 Export Hose Damage
964	14-0015	2014 Span Rectification Requirements on the 24GEP
965	14-0016	External Surface Corrosion on Valve Actuator 
966	14-0017	Fabric Maintenace required on 24CEP riser above MSL
967	14-0018	UBH Ball Valve V-2629 was sticky   ***   Anomaly in progress    ******
968	14-0019	Coating breakdown on JIV 1B due to ROV manipulator
969	14-0020	PEC Inspection - May 2012, 24CEP KP2.417, KP2.429 and KP2.438 - up to 9% Wall Loss
970	14-0021	Full cycling testing of the SSIV valve
971	14-0022	Near-Miss Incident Re: Safe Astoria Anchor Winch Release-No.4 Anchor, above CGS Base Fountain (Event #1284144)
972	14-0023	MA-8 Choke Position Indicator no reponding to changes in the choke setting
973	15-0001	Anchor debris - Anchor hooked on pipeline at KP500.600
974	15-0002	Blistered coating detected on MA-11 to SSMA Jumper
975	15-0003	Span Inspection & Q3 Rectification Program 2015 Phase 1&2
976	15-0004	Leak on 3 grease fitting points of 2nd beach valve V890 GEP.
977	15-0005	Failure of Chain Support Buoy
978	15-0006	V890 Valve Gearbox Repair
979	15-0007	Pipeline inspection blocked by fishing vessel activity over the 24GEP pipelne
981	15-0009	Cuta Bay Cathodic Protection Test Point Repair and Reconfiguration - Third Party Encroahment
982	15-0010	Missing grating on diver's work platform for the floating Hose
984	15-0012	2013 Dec 01 - SDU-A to SDU-B Flying change out and Re-Route over top of SSMA
985	15-0013	2013 Dec 02 - Changeout of SDU-UTA flying lead during SDU-A Module replacement
986	15-0014	SDU-A Hydroquad Issue raised during the replacement of SDU-A Module Dec 2013
987	15-0015	Replacement of Flying Lead (SDU-XT) MA-8 Dec 2013
988	15-0016	Replacement of Flying Lead (SDU-XT) MA-9
989	15-0017	Flying Lead Calcification UTA-B – SDU-B FL
990	15-0018	Relocation of Umbilcal due to MP3 DCP Installation
991	15-0019	 Relocation of Umbilcal due to MP3 DCP Installation 
992	15-0020	2013 Nov 30 - Changeout of SDU-A with a replacement unit (for info only)
993	15-0021	Lewek Leopard Workboat sinking, 742m north east of the CALM Buoy 75msw
994	15-0022	Span Anomalies, MBES VIP Survey Phase 2 Jul-Aug 2015
995	15-0023	MP3 - Project Installation and As-built documentation on the DCP platform
996	15-0024	HAV-A ROV Bucket Receptacle showing General Surface Corrosion
997	15-0025	Transient Gas Leak - through opening in SSMA deck for JIV-1B
998	15-0026	SDU & Flying Lead Configuraton needs updating for Manifold B, in particular, for MA-11
999	15-0027	Corrosion under 12mm of Chartek coating, first 90 deg bend downstream of SDV-155-14
1000	15-0028	MA-6 McPac Leak on seal at the XTree end
1001	15-0029	SSIV Valve Function Test for TPF1 & TPF2, 2015 Sep 14
1002	15-0030	SSIV Function test, 2015 Sep 14
1003	15-0031	PPT1 & PPT2 faulty – Analogue Under-Range
1004	15-0032	PTT2 faulty - Analogue Under-Range
1005	15-0033	DHPT- Issue found: No data returned from the DHPT
1006	15-0034	PTT1 faulty- Analogue Under-Range & PTT2 – reading too low compared to JTT
1007	15-0035	DHPT - Issue found: No data returned from the DHPT due to no power to DHPT tool
1008	15-0036	PTT2 faulty – Analogue Over Range
1009	15-0037	PTT2 faulty – Analogue Over Range
1010	15-0038	JTT2 faulty- Analogue Over Range
1011	15-0039	PCV faulty- Analogue Under-Range
1012	15-0040	JTT1 & JTT2 faulty- Analogue Under-Range
1013	15-0041	DHPT for temperature is reading too low for one temp gauge.
1014	15-0042	HMPB1 and HMPB2 both are over range
1015	15-0043	Red dust deposit suspedted to be from TSR internal coating
1016	15-0044	Malfunction in the Crane Heave Compensation System
1017	15-0045	Corrosion on the Rier Deadweight Flange SE 14.6m
1018	15-0046	 Hyperbaric Weld, at KP KP448.452 to KP448.469, uncoated section, buried and not visible**INFORMATION ONLY**
1019	15-0047	Failure of the crane heave compensation system
1020	15-0048	Collision of the Skandi Hawk with the Safe Astoria
1021	15-0049	MA-8 PCV Replacement 
1022	15-0050	Injection Port Hot Stab 'plug' under design
1023	15-0051	2015 Q4 Installation of PCMs and Log Rafts (TPF2 only), KP0.57 to KP0.63, to limit movement of the TPF's
1024	15-0052	2015 Dec 8 - Installation of PCM & Log Rafts, KP0.5 to KP0.6, TPF2 Ony to limit axial movement due to thermal expansion
1025	16-0001	Displacement of the Concrete Weight Coat due to Thermal Expansion
1026	16-0002	Rosen Internal Pigging, 2013, Areas of possible High Bending Strain
1027	16-0003	TPF2 SSIV Valve failed to close due to a stuck solenoid valve on the SWP.
1028	16-0004	unknown discharge emanating from the LPA ¼ turn valve receptacle at SDU-B, slot SDU B to SDU A
1030	16-0005	Flying Lead Installation Issues during MP2 Q4 2013 Program
1031	16-0006	Monitoring of Bulleye on SSMA structure for subsidence
1032	16-0007	Surveyed position of the SSMA and Wellheads, Differential between MP1 & MP2 surveys
1033	16-0008	Possible Corrosion under Passive Fire Protection (PFP)
1034	16-0009	Possible Corrosion under Passive Fire Protection (PFP) on the TPF riser piping
1036	16-0010	Ongoing Cumulative Threat Levels Spreadsheet for UG3, SSIV to the 100m contour
1037	16-0011	Anchor Debris at 24 GEP KP50.423
1038	16-0012	Displacement At KP423, Related to Rossen 2013 'High Strain Area'
1039	16-0013	
